,Unnamed: 0,Matan,Degree
954,24441,كنت رجلا مذاء، فاستحييت أن أسأل رسول الله صلى الله عليه وسلم فأمرت المقداد بن الأسود فسأله فقال ‏ ‏ فيه الوضوء ‏‏‏.‏ ورواه شعبة عن الأعمش‏.‏,0
1427,20218,هريرة، أن رسول الله صلى الله عليه وسلم قال المستبان ما قالا فعلى البادئ ما لم يعتد المظلوم,0
1249,25957, العزيز فقال إن هذا الحد بين الصغير والكبير,0
1208,10600,هريرة، أن رسول الله صلى الله عليه وسلم قال لا يقولن أحدكم عبدي وأمتي كلكم عبيد الله وكل نسائكم إماء الله ولكن ليقل غلامي وجاريتي وفتاى وفتاتي,0
1808,6628,قال جمع لي رسول الله صلى الله عليه وسلم أبويه يوم قريظة فقال بأبي وأمي,0
2391,18348, قال قلت لعطاء أى حين أحب إليك أن أصلي العتمة إماما أو خلوا قال سمعت ابن عباس يقول أعتم رسول الله صلى الله عليه وسلم ذات ليلة بالعتمة حتى رقد الناس واستيقظوا ورقدوا واستيقظوا فقام عمر فقال الصلاة الصلاة قال عطاء قال ابن عباس خرج نبي الله صلى الله عليه وسلم كأني أنظر إليه الآن يقطر رأسه ماء واضعا يده على شق رأسه قال وأشار فاستثبت عطاء كيف وضع النبي صلى الله عليه وسلم يده على رأسه فأومأ إلى كما أشار ابن عباس فبدد لي عطاء بين أصابعه بشىء من تبديد ثم وضعها فانتهى أطراف أصابعه إلى مقدم الرأس ثم ضمها يمر بها كذلك على الرأس حتى مست إبهاماه طرف الأذن مما يلي الوجه ثم على الصدغ وناحية الجبين لا يقصر ولا يبطش شيئا إلا كذلك ثم قال لولا أن أشق على أمتي لأمرتهم أن لا يصلوها إلا هكذا,0
518,14715,أم عطية الأنصارية، قالت غزوت مع رسول الله صلى الله عليه وسلم سبع غزوات أخلفهم في رحالهم فأصنع لهم الطعام وأداوي الجرحى وأقوم على المرضى.,0
1366,3388, أن رسول الله صلى الله عليه وسلم بزق في ثوبه وهو في الصلاة ثم دلكه,0
371,26438,قال بينما الناس في صلاة الغداة إذ جاءهم رجل بمثل حديث مالك,0
1634,16074, قال لرسول الله صلى الله عليه وسلم حين تيب عليه إني أنخلع من مالي فذكر نحوه إلى خير لك,0
