,Unnamed: 0,Matan,Degree
959,3609, رجل لابن عباس إني امرؤ من أهل خراسان وإن أرضنا أرض باردة وإنا نتخذ شرابا نشربه من الزبيب والعنب وغيره وقد أشكل على فذكر له ضروبا من الأشربة فأكثر حتى ظننت أنه لم يفهمه فقال له ابن عباس إنك قد أكثرت على اجتنب ما أسكر من تمر أو زبيب أو غيره,0
1428,10139,أن رسول الله صلى الله عليه وسلم قال ‏ ‏ خمس من الدواب من قتلهن وهو محرم فلا جناح عليه العقرب، والفأرة، والكلب العقور، والغراب، والحدأة ‏‏‏.‏,0
1254,13519,مروان يوم جمعة يرفع يديه فقال عمارة بن رؤيبة فذكر نحوه,0
1214,19805,نهى النبي صلى الله عليه وسلم يوم خيبر عن لحوم الحمر، ورخص في لحوم الخيل‏.‏,0
1803,19309,دخلت أنا وأبي، على أبي برزة الأسلمي فسألناه عن وقت الصلوات، فقال كان النبي صلى الله عليه وسلم يصلي الظهر حين تزول الشمس، والعصر ويرجع الرجل إلى أقصى المدينة والشمس حية، ونسيت ما قال في المغرب، ولا يبالي بتأخير العشاء إلى ثلث الليل ولا يحب النوم قبلها، ولا الحديث بعدها، ويصلي الصبح فينصرف الرجل فيعرف جليسه، وكان يقرأ في الركعتين أو إحداهما ما بين الستين إلى المائة‏.‏,0
2385,3784, قال وقت لنا رسول الله صلى الله عليه وسلم حلق العانة وتقليم الأظفار وقص الشارب ونتف الإبط أربعين يوما مرة قال أبو داود رواه جعفر بن سليمان عن أبي عمران عن أنس لم يذكر النبي صلى الله عليه وسلم قال وقت لنا وهذا أصح,0
524,25356,هريرة، أن رسول الله صلى الله عليه وسلم قال لا تصحب الملائكة رفقة فيها كلب ولا جرس,0
1369,11685, أن النبي صلى الله عليه وسلم نهى عن القزع,0
372,25439,بعث رسول الله صلى الله عليه وسلم أسيد بن حضير وأناسا معه في طلب قلادة أضلتها عائشة فحضرت الصلاة فصلوا بغير وضوء فأتوا النبي صلى الله عليه وسلم فذكروا ذلك له فأنزلت آية التيمم زاد ابن نفيل فقال لها أسيد بن حضير يرحمك الله ما نزل بك أمر تكرهينه إلا جعل الله للمسلمين ولك فيه فرجا,0
1633,6615,قالت خرجنا مع رسول الله صلى الله عليه وسلم مهلين بالحج في أشهر الحج وفي حرم الحج وليالي الحج حتى نزلنا بسرف فخرج إلى أصحابه فقال من لم يكن معه منكم هدى فأحب أن يجعلها عمرة فليفعل ومن كان معه هدى فلا فمنهم الآخذ بها والتارك لها ممن لم يكن معه هدى فأما رسول الله صلى الله عليه وسلم فكان معه الهدى ومع رجال من أصحابه لهم قوة فدخل على رسول الله صلى الله عليه وسلم وأنا أبكي فقال ما يبكيك قلت سمعت كلامك مع أصحابك فسمعت بالعمرة فمنعت العمرة قال وما لك قلت لا أصلي قال فلا يضرك فكوني في حجك فعسى الله أن يرزقكيها وإنما أنت من بنات آدم كتب الله عليك ما كتب عليهن قالت فخرجت في حجتي حتى نزلنا منى فتطهرت ثم طفنا بالبيت ونزل رسول الله صلى الله عليه وسلم المحصب فدعا عبد الرحمن بن أبي بكر فقال اخرج بأختك من الحرم فلتهل بعمرة ثم لتطف بالبيت فإني أنتظركما ها هنا قالت فخرجنا فأهللت ثم طفت بالبيت وبالصفا والمروة فجئنا رسول الله صلى الله عليه وسلم وهو في منزله من جوف الليل فقال هل فرغت قلت نعم فآذن في أصحابه بالرحيل فخرج فمر بالبيت فطاف به قبل صلاة الصبح ثم خرج إلى المدينة,0
2347,17966,أبو بكر ألست أحق الناس بها ألست أول من أسلم ألست صاحب كذا ألست صاحب كذا قال أبو عيسى هذا حديث غريب,0
140,10466,قال لنا رسول الله صلى الله عليه وسلم يا معشر الشباب من استطاع منكم الباءة فليتزوج فإنه أغض للبصر وأحصن للفرج ومن لم يستطع فعليه بالصوم فإنه له وجاء,0
1860,9280,عن النبي صلى الله عليه وسلم قال هلك كسرى ثم لا يكون كسرى بعده، وقيصر ليهلكن ثم لا يكون قيصر بعده، ولتقسمن كنوزها في سبيل الله وسمى الحرب خدعة,0
861,10067,عن النبي صلى الله عليه وسلم أنه كان في سفر فصلى العشاء الآخرة فقرأ في إحدى الركعتين والتين والزيتون‏}‏,0
2633,26402,بمثله غير أن يزيد ليس في حديثه قوله ومن فتنة المحيا والممات,0
1668,23332,الناس بقباء في صلاة الصبح جاءهم آت فقال إن رسول الله صلى الله عليه وسلم قد أنزل عليه الليلة وقد أمر أن يستقبل الكعبة فاستقبلوها وكانت وجوههم إلى الشام فاستداروا إلى الكعبة,0
1344,25839,أقيمت الصلاة فأقبل علينا رسول الله صلى الله عليه وسلم بوجهه فقال ‏ ‏ أقيموا صفوفكم وتراصوا، فإني أراكم من وراء ظهري ‏‏‏.‏,0
1059,21258,غير أن في رواية يحيى بن سعيد من الزيادة ورخص في كلب الغنم والصيد والزرع وليس ذكر الزرع في الرواية غير يحيى,0
2559,10147, قال كان على عمر نذر في اعتكاف ليلة في المسجد الحرام فسأل رسول الله صلى الله عليه وسلم عن ذلك فأمره أن يعتكف,0
1311,3709, عن رسول الله صلى الله عليه وسلم قال قال انظروا كيف يصرف الله عني شتم قريش ولعنهم إنهم يشتمون مذمما ويلعنون مذمما وأنا محمد,0
517,8364,قال كنا عند عمر فقال أيكم يحفظ حديث رسول الله صلى الله عليه وسلم في الفتنة كما قال قال فقلت أنا قال إنك لجريء وكيف قال قال قلت سمعت رسول الله صلى الله عليه وسلم يقول فتنة الرجل في أهله وماله ونفسه وولده وجاره يكفرها الصيام والصلاة والصدقة والأمر بالمعروف والنهى عن المنكر فقال عمر ليس هذا أريد إنما أريد التي تموج كموج البحر قال فقلت ما لك ولها يا أمير المؤمنين إن بينك وبينها بابا مغلقا قال أفيكسر الباب أم يفتح قال قلت لا بل يكسر قال ذلك أحرى أن لا يغلق أبدا قال فقلنا لحذيفة هل كان عمر يعلم من الباب قال نعم كما يعلم أن دون غد الليلة إني حدثته حديثا ليس بالأغاليط قال فهبنا أن نسأل حذيفة من الباب فقلنا لمسروق سله فسأله فقال عمر,0
24,6930,عنهما أن النبي صلى الله عليه وسلم قال يوم الفتح لا هجرة بعد الفتح ولكن جهاد ونية، وإذا استنفرتم فانفروا,0
2533,15886,أن النبي صلى الله عليه وسلم قال لرجل هل صمت من سرر هذا الشهر شيئا قال لا فقال رسول الله صلى الله عليه وسلم فإذا أفطرت من رمضان فصم يومين مكانه,0
836,9596, أبي برزة، أن رسول الله صلى الله عليه وسلم كان يقرأ في الفجر ما بين الستين إلى المائة,0
532,5970,قال رسول الله صلى الله عليه وسلم إذا وضع أحدكم بين يديه مثل مؤخرة الرحل فليصل ولا يبالي من مر وراء ذلك,0
1200,21043, قال لقيته امرأة وجد منها ريح الطيب ينفح ولذيلها إعصار فقال يا أمة الجبار جئت من المسجد قالت نعم قال وله تطيبت قالت نعم قال إني سمعت حبي أبا القاسم صلى الله عليه وسلم يقول لا تقبل صلاة لامرأة تطيبت لهذا المسجد حتى ترجع فتغتسل غسلها من الجنابة قال أبو داود الإعصار غبار,0
2251,12928,بنت حيى، زوج النبي صلى الله عليه وسلم أنها جاءت إلى رسول الله صلى الله عليه وسلم تزوره وهو معتكف في المسجد في العشر الأواخر من شهر رمضان فتحدثت عنده ساعة من العشاء ثم قامت تنقلب فقام معها رسول الله صلى الله عليه وسلم يقلبها حتى إذا بلغت باب المسجد الذي كان عند مسكن أم سلمة زوج النبي صلى الله عليه وسلم مر بهما رجلان من الأنصار فسلما على رسول الله صلى الله عليه وسلم ثم نفذا فقال لهما رسول الله صلى الله عليه وسلم على رسلكما إنها صفية بنت حيى قالا سبحان الله يا رسول الله وكبر عليهما ذلك فقال رسول الله صلى الله عليه وسلم إن الشيطان يجري من ابن آدم مجرى الدم وإني خشيت أن يقذف في قلوبكما شيئا,0
1080,24418,هريرة، أن رسول الله صلى الله عليه وسلم قال إن من شر الناس ذا الوجهين الذي يأتي هؤلاء بوجه وهؤلاء بوجه,0
1988,10963,جاء رجل إلى النبي صلى الله عليه وسلم فقال دلني على عمل أعمله يدنيني من الجنة ويباعدني من النار قال تعبد الله لا تشرك به شيئا وتقيم الصلاة وتؤتي الزكاة وتصل ذا رحمك فلما أدبر قال رسول الله صلى الله عليه وسلم إن تمسك بما أمر به دخل الجنة وفي رواية ابن أبي شيبة إن تمسك به,0
214,26391,أن أبا بكر الصديق استأذن على رسول الله صلى الله عليه وسلم فذكر بمثل حديث عقيل عن الزهري,0
630,25506,أن رسول الله صلى الله عليه وسلم جاءه جاء فقال أكلت الحمر، ثم جاءه جاء فقال أكلت الحمر‏.‏ ثم جاءه جاء فقال أفنيت الحمر‏.‏ فأمر مناديا فنادى في الناس إن الله و رسوله ينهيانكم عن لحوم الحمر الأهلية، فإنها رجس‏.‏ فأكفئت القدور وإنها لتفور باللحم‏.‏,0
2090,21624,عائشة، قالت كان رسول الله صلى الله عليه وسلم يبعث بالهدى أفتل قلائدها بيدى ثم لا يمسك عن شىء لا يمسك عنه الحلال,0
1398,10448,كان النبي صلى الله عليه وسلم إذا أراد أن ينام وهو جنب، غسل فرجه، وتوضأ للصلاة‏.‏,0
1682,13380, صاحب رسول الله صلى الله عليه وسلم يقول سمع رسول الله صلى الله عليه وسلم رجلا يدعو في صلاته لم يمجد الله تعالى ولم يصل على النبي صلى الله عليه وسلم فقال رسول الله صلى الله عليه وسلم عجل هذا ثم دعاه فقال له أو لغيره إذا صلى أحدكم فليبدأ بتحميد ربه جل وعز والثناء عليه ثم يصلي على النبي صلى الله عليه وسلم ثم يدعو بعد بما شاء,0
721,10375,أصيب سعد يوم الخندق في الأكحل، فضرب النبي صلى الله عليه وسلم خيمة في المسجد ليعوده من قريب، فلم يرعهم  وفي المسجد خيمة من بني غفار  إلا الدم يسيل إليهم فقالوا يا أهل الخيمة، ما هذا الذي يأتينا من قبلكم فإذا سعد يغذو جرحه دما، فمات فيها‏.‏,0
2274,23874, هريرة، أن رسول الله صلى الله عليه وسلم كان يقرأ في صلاة الصبح يوم الجمعة الم تنزيل و هل أتى,0
2437,21985,قال كان سعد يعلم بنيه هؤلاء الكلمات كما يعلم المكتب الغلمان ويقول إن رسول الله صلى الله عليه وسلم كان يتعوذ بهن دبر الصلاة اللهم إني أعوذ بك من الجبن وأعوذ بك من البخل وأعوذ بك من أرذل العمر وأعوذ بك من فتنة الدنيا وعذاب القبر,0
1431,3502,"كنا مع النبي صلى الله عليه وسلم في سفر فأراد المؤذن أن يؤذن فقال له ‏""‏ أبرد ‏""‏‏.‏ ثم أراد أن يؤذن فقال له ‏""‏ أبرد ‏""‏‏.‏ ثم أراد أن يؤذن‏.‏ فقال له ‏""‏ أبرد ‏""‏‏.‏ حتى ساوى الظل التلول فقال النبي صلى الله عليه وسلم ‏{‏إن شدة الحر من فيح جهنم‏}‏",0
672,10823,أن النبي صلى الله عليه وسلم أمرها بقتل الأوزاغ‏.‏,0
2602,14951,فكانوا يتبعون الأحدث فالأحدث من أمره ويرونه الناسخ المحكم,0
2266,3304,قال رسول الله صلى الله عليه وسلم ‏ ‏ لا تقبل صلاة من أحدث حتى يتوضأ ‏‏‏.‏ قال رجل من حضرموت ما الحدث يا أبا هريرة قال فساء أو ضراط‏.‏,0
271,3425,بن جبل، قال صلى رسول الله صلى الله عليه وسلم يوما صلاة فأطال فيها فلما انصرف قلنا أو قالوا يا رسول الله أطلت اليوم الصلاة قال إني صليت صلاة رغبة ورهبة سألت الله عز وجل لأمتي ثلاثا فأعطاني اثنتين ورد على واحدة سألته أن لا يسلط عليهم عدوا من غيرهم فأعطانيها وسألته أن لا يهلكهم غرقا فأعطانيها وسألته أن لا يجعل بأسهم بينهم فردها على,0
2245,9267, قال رسول الله صلى الله عليه وسلم إذا شهدت إحداكن الصلاة فلا تمس طيبا قال أبو عبد الرحمن وهذا غير محفوظ من حديث الزهري,0
1503,15505,أتاه رجلان في فتنة ابن الزبير فقالا إن الناس قد ضيعوا، وأنت ابن عمر وصاحب النبي صلى الله عليه وسلم فما يمنعك أن تخرج فقال يمنعني أن الله حرم دم أخي‏.‏ فقالا ألم يقل الله ‏{‏وقاتلوهم حتى لا تكون فتنة فقال قاتلنا حتى لم تكن فتنة، وكان الدين لله، وأنتم تريدون أن تقاتلوا حتى تكون فتنة، ويكون الدين لغير الله‏.‏ وزاد عثمان بن صالح عن ابن وهب، قال أخبرني فلان، وحيوة بن شريح، عن بكر بن عمرو المعافري، أن بكير بن عبد الله، حدثه عن نافع، أن رجلا، أتى ابن عمر فقال يا أبا عبد الرحمن ما حملك على أن تحج عاما وتعتمر عاما، وتترك الجهاد في سبيل الله عز وجل، وقد علمت ما رغب الله فيه قال يا ابن أخي بني الإسلام على خمس إيمان بالله ورسوله، والصلاة الخمس، وصيام رمضان، وأداء الزكاة، وحج البيت‏.‏ قال يا أبا عبد الرحمن، ألا تسمع ما ذكر الله في كتابه ‏{‏وإن طائفتان من المؤمنين اقتتلوا فأصلحوا بينهما‏}‏ ‏{‏إلى أمر الله‏}‏ ‏{‏قاتلوهم حتى لا تكون فتنة‏}‏ قال فعلنا على عهد رسول الله صلى الله عليه وسلم وكان الإسلام قليلا، فكان الرجل يفتن في دينه إما قتلوه، وإما يعذبوه، حتى كثر الإسلام فلم تكن فتنة‏.‏ قال فما قولك في علي وعثمان قال أما عثمان فكأن الله عفا عنه، وأما أنتم فكرهتم أن تعفوا عنه، وأما علي فابن عم رسول الله صلى الله عليه وسلم وختنه‏.‏ وأشار بيده فقال هذا بيته حيث ترون‏.‏,0
2352,10160,أيفرق بينهما قال فما دريت ما أقول فمضيت إلى منزل ابن عمر بمكة فقلت للغلام استأذن لي قال إنه قائل فسمع صوتي قال ابن جبير قلت نعم قال ادخل فوالله ما جاء بك هذه الساعة إلا حاجة فدخلت فإذا هو مفترش برذعة متوسد وسادة حشوها ليف قلت أبا عبد الرحمن المتلاعنان أيفرق بينهما قال سبحان الله نعم إن أول من سأل عن ذلك فلان بن فلان قال يا رسول الله أرأيت أن لو وجد أحدنا امرأته على فاحشة كيف يصنع إن تكلم تكلم بأمر عظيم وإن سكت سكت على مثل ذلك قال فسكت النبي صلى الله عليه وسلم فلم يجبه فلما كان بعد ذلك أتاه فقال إن الذي سألتك عنه قد ابتليت به فأنزل الله عز وجل هؤلاء الآيات في سورة النور والذين يرمون أزواجهم‏}‏ فتلاهن عليه ووعظه وذكره وأخبره أن عذاب الدنيا أهون من عذاب الآخرة قال لا والذي بعثك بالحق ما كذبت عليها ثم دعاها فوعظها وذكرها وأخبرها أن عذاب الدنيا أهون من عذاب الآخرة قالت لا والذي بعثك بالحق إنه لكاذب فبدأ بالرجل فشهد أربع شهادات بالله إنه لمن الصادقين والخامسة أن لعنة الله عليه إن كان من الكاذبين ثم ثنى بالمرأة فشهدت أربع شهادات بالله إنه لمن الكاذبين والخامسة أن غضب الله عليها إن كان من الصادقين ثم فرق بينهما.‏,0
1534,11322,قال رسول الله صلى الله عليه وسلم ناوليني الخمرة من المسجد قالت إني حائض فقال رسول الله صلى الله عليه وسلم ليست حيضتك في يدك,0
1629,10774,عن النبي صلى الله عليه وسلم قال إذا أكل أحدكم فليلعق أصابعه فإنه لا يدري في أيتهن البركة,0
867,17140, قال رسول الله صلى الله عليه وسلم إذا رأيتم الجنازة فقوموا ومن تبعها فلا يقعدن حتى توضع,0
38,24025,ثابت النبي صلى الله عليه وسلم في هجاء المشركين ولم يذكر أبا سفيان وقال بدل الخمير العجين,0
2479,24681,عن النبي صلى الله عليه وسلم قال ‏ ‏ يخرج قوم من النار بشفاعة محمد صلى الله عليه وسلم فيدخلون الجنة، يسمون الجهنميين ‏‏‏.‏,0
2150,18329,قال كان رسول الله صلى الله عليه وسلم يصلي في رمضان فجئت فقمت إلى جنبه وجاء رجل آخر فقام أيضا حتى كنا رهطا فلما حس النبي صلى الله عليه وسلم أنا خلفه جعل يتجوز في الصلاة ثم دخل رحله فصلى صلاة لا يصليها عندنا قال قلنا له حين أصبحنا أفطنت لنا الليلة قال فقال نعم ذاك الذي حملني على الذي صنعت قال فأخذ يواصل رسول الله صلى الله عليه وسلم وذاك في آخر الشهر فأخذ رجال من أصحابه يواصلون فقال النبي صلى الله عليه وسلم ما بال رجال يواصلون إنكم لستم مثلي أما والله لو تماد لي الشهر لواصلت وصالا يدع المتعمقون تعمقهم,0
1742,26349,أن رسول الله صلى الله عليه وسلم قال ما حق امرئ مسلم يبيت ليلتين وله شيء يوصي فيه إلا ووصيته مكتوبة عنده,0
