,Unnamed: 0,Matan,Degree
17407,22661,قال خطبنا رسول الله صلى الله عليه وسلم فقال مهل أهل المدينة من ذي الحليفة ومهل أهل الشام من الجحفة ومهل أهل اليمن من يلملم ومهل أهل نجد من قرن ومهل أهل المشرق من ذات عرق ثم أقبل بوجهه للأفق ثم قال اللهم أقبل بقلوبهم,0
969,24233,عن رسول الله صلى الله عليه وسلم قال ألحقوا الفرائض بأهلها فما تركت الفرائض فلأولى رجل ذكر,0
5981,8067,عنها هل كان النبي صلى الله عليه وسلم يصوم شهرا معلوما سوى رمضان قالت والله إن صام شهرا معلوما سوى رمضان حتى مضى لوجهه ولا أفطره حتى يصيب منه,0
13199,829, صاحب، هذه الدار وأشار إلى دار عبد الله قال سألت رسول الله صلى الله عليه وسلم أى العمل أحب إلى الله تعالى قال الصلاة على وقتها وبر الوالدين والجهاد في سبيل الله عز وجل,0
12462,5381,هريرة، أن رسول الله صلى الله عليه وسلم قال إن النجاشي قد مات فخرج رسول الله صلى الله عليه وسلم وأصحابه إلى البقيع فصفنا خلفه وتقدم رسول الله صلى الله عليه وسلم فكبر أربع تكبيرات,0
6941,11482,قال النبي صلى الله عليه وسلم ‏ ‏ إذا أنفقت المرأة من طعام بيتها، غير مفسدة، كان لها أجرها بما أنفقت، ولزوجها بما كسب، وللخازن مثل ذلك، لا ينقص بعضهم أجر بعض شيئا ‏‏‏.‏,0
18572,3341,أبيه، أن رسول الله صلى الله عليه وسلم قال من أكل سبع تمرات مما بين لابتيها حين يصبح لم يضره سم حتى يمسي,0
4922,9129,قال حرم رسول الله صلى الله عليه وسلم ما بين لابتى المدينة قال أبو هريرة فلو وجدت الظباء ما بين لابتيها ما ذعرتها وجعل اثنى عشر ميلا حول المدينة حمى,0
15905,15373,عيينة، كلاهما عن الزهري، بهذا الإسناد مثله وفي حديث الليث من رواية ابن رمح أنه سمع أبا مسعود,0
12547,7719,"كان اليهود يسلمون على النبي صلى الله عليه وسلم يقولون السام عليك‏.‏ ففطنت عائشة إلى قولهم فقالت عليكم السام واللعنة‏.‏ فقال النبي صلى الله عليه وسلم ‏""‏ مهلا يا عائشة، إن الله يحب الرفق في الأمر كله ‏""‏‏.‏ فقالت يا نبي الله أولم تسمع ما يقولون قال ‏""‏ أولم تسمعي أني أرد ذلك عليهم فأقول وعليكم ‏""‏‏.‏",0
17659,7688, بن نبيط، عن رجل، من الحى عن أبيه، نبيط أنه رأى النبي صلى الله عليه وسلم واقفا بعرفة على بعير أحمر يخطب,0
