,Matan,Degree
11697,قال كان رسول الله صلى الله عليه وسلم بالبقيع فنادى رجل رجلا يا أبا القاسم فالتفت إليه رسول الله صلى الله عليه وسلم فقال إني لم أعنك فقال رسول الله صلى الله عليه وسلم تسموا باسمي ولا تكتنوا بكنيتي,0
23046, هريرة، أن رسول الله صلى الله عليه وسلم نعى للناس النجاشي وخرج بهم فصف بهم وكبر أربع تكبيرات,0
21715,أنه سمع عمران بن حصين، يحدث عن النبي صلى الله عليه وسلم أنه قال الحياء لا يأتي إلا بخير فقال بشير بن كعب إنه مكتوب في الحكمة أن منه وقارا ومنه سكينة فقال عمران أحدثك عن رسول الله صلى الله عليه وسلم وتحدثني عن صحفك,0
16238,قال كان رسول الله صلى الله عليه وسلم يصلي بنا فيطيل في الركعة الأولى من الظهر ويقصر في الثانية وكذلك في الصبح,0
15667,كان الناس يتحرون بهداياهم يوم عائشة قالت عائشة فاجتمع صواحبي إلى أم سلمة، فقلن يا أم سلمة، والله إن الناس يتحرون بهداياهم يوم عائشة، وإنا نريد الخير كما تريده عائشة، فمري رسول الله صلى الله عليه وسلم أن يأمر الناس أن يهدوا إليه حيث ما كان أو حيث ما دار، قالت فذكرت ذلك أم سلمة للنبي صلى الله عليه وسلم قالت فأعرض عني، فلما عاد إلى ذكرت له ذاك فأعرض عني، فلما كان في الثالثة ذكرت له فقال ‏ ‏ يا أم سلمة لا تؤذيني في عائشة، فإنه والله ما نزل على الوحى وأنا في لحاف امرأة منكن غيرها ‏‏‏.‏,0
1949, قال رسول الله صلى الله عليه وسلم وايم الله لا أقبل بعد يومي هذا من أحد هدية إلا أن يكون مهاجرا قرشيا أو أنصاريا أو دوسيا أو ثقفيا,0
5193,الأكوع، أن رسول الله صلى الله عليه وسلم كان يصلي المغرب إذا غربت الشمس وتوارت بالحجاب,0
13571,"دخلت على عائشة  رضى الله عنها  فقلت كنت غلاما لعتبة بن أبي لهب، ومات وورثني بنوه، وإنهم باعوني من ابن أبي عمرو، فأعتقني ابن أبي عمرو، واشترط بنو عتبة الولاء‏.‏ فقالت دخلت بريرة وهى مكاتبة فقالت اشتريني وأعتقيني‏.‏ قالت نعم‏.‏ قالت لا يبيعوني حتى يشترطوا ولائي‏.‏ فقالت لا حاجة لي بذلك‏.‏ فسمع بذلك النبي صلى الله عليه وسلم أو بلغه، فذكر لعائشة، فذكرت عائشة ما قالت لها، فقال ‏""‏ اشتريها وأعتقيها، ودعيهم يشترطون ما شاءوا ‏""‏‏.‏ فاشترتها عائشة فأعتقتها واشترط أهلها الولاء، فقال النبي صلى الله عليه وسلم ‏""‏ الولاء لمن أعتق، وإن اشترطوا مائة شرط ‏""‏‏.‏",0
150,عن النبي صلى الله عليه وسلم أنه أتى بامرأة مجح على باب فسطاط فقال لعله يريد أن يلم بها فقالوا نعم فقال رسول الله صلى الله عليه وسلم لقد هممت أن ألعنه لعنا يدخل معه قبره كيف يورثه وهو لا يحل له كيف يستخدمه وهو لا يحل له,0
14638,فاز باللذة الجسور,1
24930,أن رسول الله صلى الله عليه وسلم كان يمسح على الخفين وعلى ناصيته وعلى عمامته قال بكر وقد سمعته من ابن المغيرة,0
5609, أنس، أنه رأى في يد رسول الله صلى الله عليه وسلم خاتما من ورق يوما واحدا فصنعوه فلبسوه فطرح النبي صلى الله عليه وسلم وطرح الناس,0
17762,عمومتي، من الأنصار من أصحاب رسول الله صلى الله عليه وسلم قالوا أغمي علينا هلال شوال فأصبحنا صياما فجاء ركب من آخر النهار فشهدوا عند النبي صلى الله عليه وسلم أنهم رأوا الهلال بالأمس فأمرهم رسول الله صلى الله عليه وسلم أن يفطروا وأن يخرجوا إلى عيدهم من الغد,0
11596, أخبرتني حفصة، أن رسول الله صلى الله عليه وسلم كان يركع ركعتين قبل الفجر وذلك بعد ما يطلع الفجر,0
19452, الله، قال لعن الله المتنمصات والمتفلجات ألا ألعن من لعن رسول الله صلى الله عليه وسلم,0
16741, أن رسول الله صلى الله عليه وسلم قال رفع القلم عن ثلاثة عن النائم حتى يستيقظ وعن المبتلى حتى يبرأ وعن الصبي حتى يكبر,0
9708,أن امرأة، من خثعم قالت يا رسول الله إن أبي أدركته فريضة الله في الحج وهو شيخ كبير لا يستطيع أن يستوي على ظهر البعير قال حجي عنه,0
8835,قال رسول الله صلى الله عليه وسلم من وقع على ذات محرم فاقتلوه ومن وقع على بهيمة فاقتلوه واقتلوا البهيمة,0
17072, قال كنت أقرأ على أبي القرآن في السكة فإذا قرأت السجدة سجد فقلت يا أبت أتسجد في الطريق فقال إني سمعت أبا ذر يقول سألت رسول الله صلى الله عليه وسلم أى مسجد وضع أولا قال المسجد الحرام قلت ثم أى قال المسجد الأقصى قلت وكم بينهما قال أربعون عاما والأرض لك مسجد فحيثما أدركت الصلاة فصل,0
8934,أنه كان يفتي بالمتعة فقال له رجل رويدك ببعض فتياك فإنك لا تدري ما أحدث أمير المؤمنين في النسك بعد حتى لقيه بعد فسأله فقال عمر قد علمت أن النبي صلى الله عليه وسلم قد فعله وأصحابه ولكن كرهت أن يظلوا معرسين بهن في الأراك ثم يروحون في الحج تقطر رءوسهم,0
5886,عن النبي صلى الله عليه وسلم قال يجتمع المؤمنون يوم القيامة فيقولون لو استشفعنا إلى ربنا فيأتون آدم فيقولون أنت أبو الناس، خلقك الله بيده وأسجد لك ملائكته، وعلمك أسماء كل شىء، فاشفع لنا عند ربك حتى يريحنا من مكاننا هذا‏.‏ فيقول لست هناكم ويذكر ذنبه فيستحي ائتوا نوحا فإنه أول رسول بعثه الله إلى أهل الأرض‏.‏ فيأتونه فيقول لست هناكم‏.‏ ويذكر سؤاله ربه ما ليس له به علم فيستحي، فيقول ائتوا خليل الرحمن‏.‏ فيأتونه فيقول لست هناكم، ائتوا موسى عبدا كلمه الله وأعطاه التوراة‏.‏ فيأتونه فيقول لست هناكم‏.‏ ويذكر قتل النفس بغير نفس فيستحي من ربه فيقول ائتوا عيسى عبد الله ورسوله، وكلمة الله وروحه‏.‏ فيقول لست هناكم، ائتوا محمدا صلى الله عليه وسلم عبدا غفر الله له ما تقدم من ذنبه وما تأخر‏.‏ فيأتوني فأنطلق حتى أستأذن على ربي فيؤذن ‏{‏لي‏}‏ فإذا رأيت ربي وقعت ساجدا، فيدعني ما شاء الله ثم يقال ارفع رأسك، وسل تعطه، وقل يسمع، واشفع تشفع‏.‏ فأرفع رأسي فأحمده بتحميد يعلمنيه، ثم أشفع، فيحد لي حدا، فأدخلهم الجنة، ثم أعود إليه، فإذا رأيت ربي مثله ثم أشفع، فيحد لي حدا، فأدخلهم الجنة ‏{‏ثم أعود الثالثة‏}‏ ثم أعود الرابعة فأقول ما بقي في النار إلا من حبسه القرآن ووجب عليه الخلود قال أبو عبد الله إلا من حبسه القرآن يعني قول الله تعالى ‏{‏خالدين فيها‏}‏‏.‏,0
21213,امرأته التي، طلق فقال طلقتها وهى حائض فذكر ذلك لعمر فذكره للنبي صلى الله عليه وسلم فقال مره فليراجعها فإذا طهرت فليطلقها لطهرها قال فراجعتها ثم طلقتها لطهرها قلت فاعتددت بتلك التطليقة التي طلقت وهى حائض قال ما لي لا أعتد بها وإن كنت عجزت واستحمقت,0
23980, أم سلمة، قالت ما مات رسول الله صلى الله عليه وسلم حتى كان أكثر صلاته قاعدا إلا الفريضة وكان أحب العمل إليه أدومه وإن قل,0
12694, أنه قدم على النبي صلى الله عليه وسلم فذكر نحوه,0
5260, عن النبي صلى الله عليه وسلم نحوه قال أبو عاصم سعيد بن المسيب مرسل وأبو سلمة عن أبي هريرة متصل,0
11651, قال رسول الله صلى الله عليه وسلم إنه ليغان على قلبي وإني لأستغفر الله في كل يوم مائة مرة,0
11391,"توفيت إحدى بنات النبي صلى الله عليه وسلم فخرج، فقال ‏""‏ اغسلنها ثلاثا أو خمسا أو أكثر من ذلك إن رأيتن بماء وسدر، واجعلن في الآخرة كافورا أو شيئا من كافور، فإذا فرغتن فآذنني ‏""‏‏.‏ قالت فلما فرغنا آذناه، فألقى إلينا حقوه فقال ‏""‏ أشعرنها إياه ‏""‏‏.‏",0
19723,عن النبي صلى الله عليه وسلم قال إنها طيبة يعني المدينة وإنها تنفي الخبث كما تنفي النار خبث الفضة‏‏,0
16184,أوصى النبي صلى الله عليه وسلم فقال لا‏.‏ فقلت كيف كتب على الناس الوصية أو أمروا بها قال أوصى بكتاب الله‏.‏,0
17583,كنت أمشي مع رسول الله صلى الله عليه وسلم وعليه برد نجراني غليظ الحاشية، فأدركه أعرابي فجبذ بردائه جبذة شديدة قال أنس فنظرت إلى صفحة عاتق النبي صلى الله عليه وسلم وقد أثرت بها حاشية الرداء من شدة جبذته ثم قال يا محمد مر لي من مال الله الذي عندك‏.‏ فالتفت إليه فضحك، ثم أمر له بعطاء‏.‏,0
14992,دعا النبي صلى الله عليه وسلم فاطمة عليها السلام في شكواه الذي قبض فيه، فسارها بشىء، فبكت، ثم دعاها فسارها بشىء فضحكت فسألنا عن ذلك‏.‏ فقالت سارني النبي صلى الله عليه وسلم أنه يقبض في وجعه الذي توفي فيه فبكيت، ثم سارني فأخبرني أني أول أهله يتبعه فضحكت‏.‏,0
12788, قال كانوا يقولون إذا أوهم يتحرى الصواب ثم يسجد سجدتين,0
24240,"  فاطمة حوراء إنسية، فكلما اشتقت إلى رائحة الجنة شممت رائحة ابنتي فاطمة وجاء الحديث برواية عائشة رضي الله عنها مرفوعا: ((إني لما أسري بي إلى السماء أدخلني جبريل الجنة, فناولني منها تفاحة، فأكلتها فصارت نطفة في صلبي، فلما نزلت واقعت خديجة، ففاطمة من تلك النطفة، وهي حوراء إنسية،كلما اشتقت إلى الجنة قبلتها",1
18683,"قال لي النبي صلى الله عليه وسلم ‏""‏ إنك لتصوم الدهر، وتقوم الليل ‏""‏‏.‏ فقلت نعم‏.‏ قال ‏""‏ إنك إذا فعلت ذلك هجمت له العين ونفهت له النفس، لا صام من صام الدهر، صوم ثلاثة أيام صوم الدهر كله ‏""‏‏.‏ قلت فإني أطيق أكثر من ذلك‏.‏ قال ‏""‏ فصم صوم داود عليه السلام كان يصوم يوما ويفطر يوما، ولا يفر إذا لاقى ‏""‏‏.‏",0
834,: يا علي : إذا تزودت فلا تنس البصل ,1
15753,قلت لعمر بن الخطاب بمثل حديث ابن إدريس,0
18706, عن النبي صلى الله عليه وسلم قال لا تنبذوا الزهو والرطب ولا تنبذوا الرطب والزبيب جميعا,0
23739,: ليس السارق الذي يسرق ثياب الناس إنما السارق الذي يسرق الصلاة يلقطها الطير كما يلقط الحب من الأرض,1
25584,النبي صلى الله عليه وسلم قال من قرأ بالآيتين‏.‏ ‏.‏‏.‏ ‏.‏,0
21825,"أن النبي صلى الله عليه وسلم قال ‏""‏ لتتبعن سنن من قبلكم شبرا بشبر، وذراعا بذراع، حتى لو سلكوا جحر ضب لسلكتموه ‏""‏‏.‏ قلنا يا رسول الله، اليهود والنصارى قال ‏""‏ فمن ‏""‏‏.‏",0
25948, أنه رمى جمرة العقبة ولم يقف عندها وذكر أن النبي صلى الله عليه وسلم فعل مثل ذلك,0
14493,قال رسول الله صلى الله عليه وسلم إذا نعس الرجل وهو في الصلاة فلينصرف لعله يدعو على نفسه وهو لا يدري,0
13674,أن عائشة، قالت كان رسول الله صلى الله عليه وسلم مضطجعا في بيتي كاشفا عن فخذيه أو ساقيه فاستأذن أبو بكر فأذن له وهو على تلك الحال فتحدث ثم استأذن عمر فأذن له وهو كذلك فتحدث ثم استأذن عثمان فجلس رسول الله صلى الله عليه وسلم وسوى ثيابه قال محمد ولا أقول ذلك في يوم واحد فدخل فتحدث فلما خرج قالت عائشة دخل أبو بكر فلم تهتش له ولم تباله ثم دخل عمر فلم تهتش له ولم تباله ثم دخل عثمان فجلست وسويت ثيابك فقال ألا أستحي من رجل تستحي منه الملائكة,0
8818,قال رسول الله صلى الله عليه وسلم إذا سكر فاجلدوه فإن عاد فاجلدوه فإن عاد فاجلدوه ثم قال في الرابعة فإن عاد فاضربوا عنقه,0
20067,محمد بهذا الإسناد مثله وزاد في عقب الحديث قال يزيد فحدثت هذا الحديث أبا بكر بن محمد بن عمرو بن حزم فقال هكذا حدثني أبو سلمة عن أبي هريرة,0
24649,كان يوم الأحزاب قال رسول الله صلى الله عليه وسلم ملأ الله قبورهم وبيوتهم نارا كما حبسونا وشغلونا عن الصلاة الوسطى حتى غابت الشمس,0
4693, عن النبي صلى الله عليه وسلم أنه قال لا يبيع أحدكم على بيع أخيه,0
14431,‏{‏أطيعوا الله وأطيعوا الرسول وأولي الأمر منكم‏}‏‏.‏ قال نزلت في عبد الله بن حذافة بن قيس بن عدي، إذ بعثه النبي صلى الله عليه وسلم في سرية‏.‏,0
21110,أن النبي صلى الله عليه وسلم استسقى فصلى ركعتين، وقلب رداءه‏.‏,0
26291,إسماعيل يعني ابن علية، ح وحدثنا أبو الربيع، وأبو كامل قالا حدثنا حماد، ح وحدثني محمد بن رافع، حدثنا عبد الرزاق، أخبرنا سفيان، عن أيوب السختياني، وأيوب، بن موسى وإسماعيل بن أمية ح. وحدثني عبد الله بن عبد الرحمن الدارمي، أخبرنا أبو نعيم، حدثنا سفيان، عن أيوب، وإسماعيل بن أمية، وعبيد الله، وموسى بن عقبة، ح وحدثنا محمد بن رافع، حدثنا عبد الرزاق، أخبرنا ابن جريج، أخبرني إسماعيل بن أمية، ح وحدثني أبو الطاهر، أخبرنا ابن وهب، عن حنظلة بن أبي سفيان الجمحي، وعبيد الله بن عمر، ومالك بن أنس، وأسامة، بن زيد الليثي كلهم عن نافع، عن ابن عمر، عن النبي صلى الله عليه وسلم بمثل حديث يحيى عن مالك غير أن بعضهم قال قيمته وبعضهم قال ثمنه ثلاثة دراهم,0
24120,قال رسول الله صلى الله عليه وسلم إن الله يملي للظالم فإذا أخذه لم يفلته ثم قرأ ‏{وكذلك أخذ ربك إذا أخذ القرى وهي ظالمة}‏,0
23832,يقول قام رسول الله صلى الله عليه وسلم فخطب الناس فقال لا والله ما أخشى عليكم أيها الناس إلا ما يخرج الله لكم من زهرة الدنيا فقال رجل يا رسول الله أيأتي الخير بالشر فصمت رسول الله صلى الله عليه وسلم ساعة ثم قال كيف قلت قال قلت يا رسول الله أيأتي الخير بالشر فقال له رسول الله صلى الله عليه وسلم إن الخير لا يأتي إلا بخير أو خير هو إن كل ما ينبت الربيع يقتل حبطا أو يلم إلا آكلة الخضر أكلت حتى إذا امتلأت خاصرتاها استقبلت الشمس ثلطت أو بالت ثم اجترت فعادت فأكلت فمن يأخذ مالا بحقه يبارك له فيه ومن يأخذ مالا بغير حقه فمثله كمثل الذي يأكل ولا يشبع,0
