,Matan,Degree
12957, أن رسول الله صلى الله عليه وسلم احتجم وهو محرم في رأسه من داء كان به,0
593,أن رسول الله صلى الله عليه وسلم كان يسأل في مرضه الذي مات فيه يقول أين أنا غدا أين أنا غدا يريد يوم عائشة، فأذن له أزواجه يكون حيث شاء، فكان في بيت عائشة حتى مات عندها، قالت عائشة فمات في اليوم الذي كان يدور على فيه في بيتي، فقبضه الله وإن رأسه لبين نحري وسحري، وخالط ريقه ريقي ثم قالت دخل عبد الرحمن بن أبي بكر ومعه سواك يستن به فنظر إليه رسول الله صلى الله عليه وسلم فقلت له أعطني هذا السواك يا عبد الرحمن‏.‏ فأعطانيه فقضمته، ثم مضغته فأعطيته رسول الله صلى الله عليه وسلم فاستن به وهو مستند إلى صدري‏.‏,0
13256,قال كنا نحاقل الأرض على عهد رسول الله صلى الله عليه وسلم فنكريها بالثلث والربع والطعام المسمى فجاءنا ذات يوم رجل من عمومتي فقال نهانا رسول الله صلى الله عليه وسلم عن أمر كان لنا نافعا وطواعية الله ورسوله أنفع لنا نهانا أن نحاقل بالأرض فنكريها على الثلث والربع والطعام المسمى وأمر رب الأرض أن يزرعها أو يزرعها وكره كراءها وما سوى ذلك,0
519, أن النبي صلى الله عليه وسلم كان إذا وضع الميت في القبر قال بسم الله وعلى سنة رسول الله صلى الله عليه وسلم هذا لفظ مسلم,0
21177, تختموا بالياقوت فإنه ينفي الفقر,1
20135, قال كان شعر رسول الله صلى الله عليه وسلم إلى أنصاف أذنيه,0
2342,عائشة، أن رسول الله صلى الله عليه وسلم قال إن الحمى من فيح جهنم فأبردوها بالماء,0
21945, يقول إني لفي القوم عند النبي صلى الله عليه وسلم فقامت امرأة فقالت يا رسول الله إنها قد وهبت نفسها لك فرأ فيها رأيك فسكت فلم يجبها النبي صلى الله عليه وسلم بشىء ثم قامت فقالت يا رسول الله إنها قد وهبت نفسها لك فرأ فيها رأيك فقام رجل فقال زوجنيها يا رسول الله قال هل معك شىء قال لا قال اذهب فاطلب ولو خاتما من حديد فذهب فطلب ثم جاء فقال لم أجد شيئا ولا خاتما من حديد قال هل معك من القرآن شىء قال نعم معي سورة كذا وسورة كذا قال قد أنكحتكها على ما معك من القرآن,0
6737,قال رسول الله صلى الله عليه وسلم ‏ ‏ قال الله كل عمل ابن آدم له إلا الصيام، فإنه لي، وأنا أجزي به‏.‏ والصيام جنة، وإذا كان يوم صوم أحدكم، فلا يرفث ولا يصخب، فإن سابه أحد، أو قاتله فليقل إني امرؤ صائم‏.‏ والذي نفس محمد بيده لخلوف فم الصائم أطيب عند الله من ريح المسك، للصائم فرحتان يفرحهما إذا أفطر فرح، وإذا لقي ربه فرح بصومه ‏‏‏.‏,0
534, قال رسول الله صلى الله عليه وسلم لا تحلفوا بآبائكم ولا بأمهاتكم ولا بالأنداد ولا تحلفوا إلا بالله ولا تحلفوا بالله إلا وأنتم صادقون,0
