Book,No.,Full Hadith,Isnad,Matan,Author's Comments,Degree,Authenticity,Topic
N1,16," رقم الحديث: 15   (حديث مرفوع)    أخبرنا  محمد بن الحسين بن محمد الواعظ  ، أخبرنا  أبو العباس أحمد بن محمد بن أحمد البنداري القومسي  ، قال : حدثنا  أبو عمرو محمد بن عبد الله بن أحمد الزرجاهي   ، قال : حدثنا  أبو أحمد عبد الله بن عدي الحافظ   ، قال : حدثنا  أبو علي أحمد بن علي بن محمد   ، قال : حدثنا  محمد بن كرام   ، قال : حدثنا  أحمد بن عبد الله الشيباني   ، قال : حدثنا  سفيان بن عيينة   ، عن  الزهري   ،  عن  سالم   ، عن  أبيه   ، أن النبي صلى الله عليه وسلم ، قال :  "" الإيمان لا يزيد ولا ينقص ""  .         هذا حديث موضوع باطل ، وليس له أصل ، وهو من موضوعات أحمد بن عبد الله الجويباري ، وأحمد بن عبد الله هذا كان خبيثا دجالا من الدجاجلة ، كذابا ، يروي عن ابن عيينة ، ووكيع ، وأبي ضمرة وغيرهم من ثقات أصحاب الحديث ، ويضع عليهم ما لم يحدثوا ، وقد روى عن هؤلاء الأئمة ألوف حديث ما حدثوا بشيء منها ، كان يضعها عليهم ، لا يحل ذكره في الكتب إلا على سبيل الجرح فيه . أخبرنا أبو الفضل المقدسي ، أخبرنا إسماعيل بن مسعدة بجرجان ، أخبرنا حمزة بن يوسف ، أخبرنا أبو أحمد عبد الله بن عدي الحافظ ، قال : "" أحمد بن عبد الله الهروي يعرف بالجويباري ، كان يضع الأحاديث لابن كرام على ما يريده ، وكان ابن كرام يضعها في كتبه عنه ، ويسميه أحمد بن عبد الله الشيباني .

", أخبرنا  محمد بن الحسين بن محمد الواعظ  ، أخبرنا  أبو العباس أحمد بن محمد بن أحمد البنداري القومسي  ، قال : حدثنا  أبو عمرو محمد بن عبد الله بن أحمد الزرجاهي   ، قال : حدثنا  أبو أحمد عبد الله بن عدي الحافظ   ، قال : حدثنا  أبو علي أحمد بن علي بن محمد   ، قال : حدثنا  محمد بن كرام   ، قال : حدثنا  أحمد بن عبد الله الشيباني   ، قال : حدثنا  سفيان بن عيينة   ، عن  الزهري   ،  عن  سالم   ، عن  أبيه   ، أن النبي صلى الله عليه وسلم ، قال," الإيمان لا يزيد ولا ينقص ""","وهو من موضوعات أحمد بن عبد الله الجويباري ، وأحمد بن عبد الله هذا كان خبيثا دجالا من الدجاجلة ، كذابا ، يروي عن ابن عيينة ، ووكيع ، وأبي ضمرة وغيرهم من ثقات أصحاب الحديث ، ويضع عليهم ما لم يحدثوا ، وقد روى عن هؤلاء الأئمة ألوف حديث ما حدثوا بشيء منها ، كان يضعها عليهم ، لا يحل ذكره في الكتب إلا على سبيل الجرح فيه . أخبرنا أبو الفضل المقدسي ، أخبرنا إسماعيل بن مسعدة بجرجان ، أخبرنا حمزة بن يوسف ، أخبرنا أبو أحمد عبد الله بن عدي الحافظ ، قال : "" أحمد بن عبد الله الهروي يعرف بالجويباري ، كان يضع الأحاديث لابن كرام على ما يريده ، وكان ابن كرام يضعها في كتبه عنه ، ويسميه أحمد بن عبد الله الشيباني .",Mawdu,non-authentic,الإيمان
N1,18," رقم الحديث: 17   (حديث مرفوع)    أخبرنا  طاهر بن الفضل بن أحمد الحافظ  ، قال : حدثنا  أبو بكر أحمد بن علي بن عمر بن عبد الله بن خلف الشيرازي   ، أخبرنا  محمد بن عبد الله الحافظ   ، أخبرنا  أبو الحسن بن دلويه المذكر   ، قال : حدثنا  جعفر بن سهل   ، قال :  محمد بن يزيد   ، قال : حدثنا  أبو مطيع البلخي   ، قال : حدثنا  حماد بن سلمة   ، عن  أبي المهزم   ،  عن  أبي هريرة   ، أن وفد ثقيف جاءوا إلى النبي صلى الله عليه وسلم فسألوه  عن الإيمان ، هل يزيد وينقص ؟ فقال : "" لا ، زيادته كفر ونقصانه شرك ""  .         هذا حديث موضوع باطل لا أصل له ، وهو من موضوعات أبي مطيع البلخي ، وأبو مطيع ذا اسمه الحكم بن عبد الله البلخي ، كان من رؤساء المرجئة ممن يضع الحديث ويبغض السنن . قال عبد الله بن أحمد بن حنبل : "" سألت أبي عن الحكم بن عبد الله أبي مطيع البلخي ؟ قال : لا ينبغي أن يروى عنه "" . وقال العباس بن محمد الدوري : عن يحيى بن معين ، أنه قال : "" أبو مطيع الخراساني ليس بشيء "" . وقال عبد الرحمن بن أبي حاتم الرازي : "" سألت أبي عن أبي مطيع البلخي ؟ فقال : كان قاضي بلخ ، وكان مرجئا كذابا ، وانتهى في كتاب الزكاة إلى حديث له فامتنع من قراءته ، وقال : لا أحدث عنه "" .

",أخبرنا  طاهر بن الفضل بن أحمد الحافظ  ، قال : حدثنا  أبو بكر أحمد بن علي بن عمر بن عبد الله بن خلف الشيرازي   ، أخبرنا  محمد بن عبد الله الحافظ   ، أخبرنا  أبو الحسن بن دلويه المذكر   ، قال : حدثنا  جعفر بن سهل   ، قال :  محمد بن يزيد   ، قال : حدثنا  أبو مطيع البلخي   ، قال : حدثنا  حماد بن سلمة   ، عن  أبي المهزم   ،  عن  أبي هريرة,"أن وفد ثقيف جاءوا إلى النبي صلى الله عليه وسلم فسألوه  عن الإيمان ، هل يزيد وينقص ؟ فقال : "" لا ، زيادته كفر ونقصانه شرك","وهو من موضوعات أبي مطيع البلخي ، وأبو مطيع ذا اسمه الحكم بن عبد الله البلخي ، كان من رؤساء المرجئة ممن يضع الحديث ويبغض السنن . قال عبد الله بن أحمد بن حنبل : "" سألت أبي عن الحكم بن عبد الله أبي مطيع البلخي ؟ قال : لا ينبغي أن يروى عنه "" . وقال العباس بن محمد الدوري : عن يحيى بن معين ، أنه قال : "" أبو مطيع الخراساني ليس بشيء "" . وقال عبد الرحمن بن أبي حاتم الرازي : "" سألت أبي عن أبي مطيع البلخي ؟ فقال : كان قاضي بلخ ، وكان مرجئا كذابا ، وانتهى في كتاب الزكاة إلى حديث له فامتنع من قراءته ، وقال : لا أحدث عنه "" .",Mawdu,non-authentic,الإيمان
N1,20," رقم الحديث: 19   (حديث مرفوع)    أخبرنا  أبو العلاء الأديب   ، أخبرنا  علي بن محمد بن عبد الحميد   ، قال : حدثنا  أحمد بن علي بن أحمد  ، قال : حدثنا  أبو عبد الله أحمد بن محمد  ، قال : حدثنا  إبراهيم بن سعيد   ، قال : حدثنا  محمد بن القاسم الطايكاني   ، عن  عبد العزيز بن خالد   ، عن  سفيان الثوري   ، عن  أبي هارون   ،  عن  أبي سعيد الخدري   ، قال : سمعت رسول الله صلى الله عليه وسلم يقول :  "" من زعم أن الإيمان يزيد وينقص ، فزيادته نفاق ، ونقصانه كفر ، فإن تابوا وإلا فاضربوا أعناقهم بالسيف ، أولئك أعداء الرحمن ، فارقوا دين الله ، وانتحلوا الكفر ، وخاصموا في الله ، طهر الله الأرض منهم ، ألا ولا صلاة لهم ، ألا ولا صوم لهم ، ألا ولا زكاة لهم ، ألا ولا حج لهم ، ألا ولا بر لهم ، هم براء من رسول الله صلى الله عليه وسلم ، ورسول الله بريء منهم ""  . هذا حديث موضوع ، وهو من موضوعات محمد بن القاسم الطايكاني ، ومحمد بن القاسم هذا كان كذابا خبيثا ، وكان من أهل بلخ ، يروي عن العراقيين ، وأهل بلده ولا أصل له ، وروى عنه أهل خراسان ، لا يحل ذكره في الكتب إلا على سبيل الطعن فيه . سمعت أبا طاهر الحافظ ، يقول : سمعت أبا بكر الشيرازي ، يقول : سمعت الحاكم أبا عبد الله ، يقول : "" محمد بن القاسم الطايكاني كان من رؤساء المرجئة ممن يضع الحديث على مذهبهم "" .

", أخبرنا  أبو العلاء الأديب   ، أخبرنا  علي بن محمد بن عبد الحميد   ، قال : حدثنا  أحمد بن علي بن أحمد  ، قال : حدثنا  أبو عبد الله أحمد بن محمد  ، قال : حدثنا  إبراهيم بن سعيد   ، قال : حدثنا  محمد بن القاسم الطايكاني   ، عن  عبد العزيز بن خالد   ، عن  سفيان الثوري   ، عن  أبي هارون   ،  عن  أبي سعيد الخدري   ، قال : سمعت رسول الله صلى الله عليه وسلم يقول," من زعم أن الإيمان يزيد وينقص ، فزيادته نفاق ، ونقصانه كفر ، فإن تابوا وإلا فاضربوا أعناقهم بالسيف ، أولئك أعداء الرحمن ، فارقوا دين الله ، وانتحلوا الكفر ، وخاصموا في الله ، طهر الله الأرض منهم ، ألا ولا صلاة لهم ، ألا ولا صوم لهم ، ألا ولا زكاة لهم ، ألا ولا حج لهم ، ألا ولا بر لهم ، هم براء من رسول الله صلى الله عليه وسلم ، ورسول الله بريء منهم ""","وهو من موضوعات محمد بن القاسم الطايكاني ، ومحمد بن القاسم هذا كان كذابا خبيثا ، وكان من أهل بلخ ، يروي عن العراقيين ، وأهل بلده ولا أصل له ، وروى عنه أهل خراسان ، لا يحل ذكره في الكتب إلا على سبيل الطعن فيه . سمعت أبا طاهر الحافظ ، يقول : سمعت أبا بكر الشيرازي ، يقول : سمعت الحاكم أبا عبد الله ، يقول : "" محمد بن القاسم الطايكاني كان من رؤساء المرجئة ممن يضع الحديث على مذهبهم "" .",Mawdu,non-authentic,الإيمان
N1,30," رقم الحديث: 29   (حديث مرفوع)    أخبرنا  أبو القاسم حمد بن عبد الواحد بن إسماعيل الروياني الطبري  ، قدم علينا ، أخبرنا  أبو الفتح مظفر بن حمزة الجرجاني   ، أخبرنا  أبو عبد الرحمن محمد بن الحسين السلمي   ، قال : حدثنا  عبد الله بن أحمد بن جعفر الشيباني   ، قال : حدثنا  أحمد بن محمد بن علي الهروي   ، قال : حدثنا  أحمد بن عبد الله الجويباري   ، قال : حدثنا  سلمة بن سلام   ، عن  بكر بن خنيس   ، عن  أبان   ،  عن  أنس بن مالك   ، قال : قال رسول الله صلى الله عليه وسلم :  "" من لم يميز ثلاثة فليس له في الجماعة نصيب : من لم يميز العمل من الإيمان ، والرزق من العمل ، والموت من المرض ""  . هذا حديث باطل لا شك فيه ، وأحمد بن عبد الله الجويباري ، وسلمة بن سلام ، وبكر بن خنيس ، وأبان أربعتهم متروكون .

", أخبرنا  أبو القاسم حمد بن عبد الواحد بن إسماعيل الروياني الطبري  ، قدم علينا ، أخبرنا  أبو الفتح مظفر بن حمزة الجرجاني   ، أخبرنا  أبو عبد الرحمن محمد بن الحسين السلمي   ، قال : حدثنا  عبد الله بن أحمد بن جعفر الشيباني   ، قال : حدثنا  أحمد بن محمد بن علي الهروي   ، قال : حدثنا  أحمد بن عبد الله الجويباري   ، قال : حدثنا  سلمة بن سلام   ، عن  بكر بن خنيس   ، عن  أبان   ،  عن  أنس بن مالك   ، قال : قال رسول الله صلى الله عليه وسلم," من لم يميز ثلاثة فليس له في الجماعة نصيب : من لم يميز العمل من الإيمان ، والرزق من العمل ، والموت من المرض """, هذا حديث باطل لا شك فيه ، وأحمد بن عبد الله الجويباري ، وسلمة بن سلام ، وبكر بن خنيس ، وأبان أربعتهم متروكون ,Mawdu,non-authentic,الإيمان
N1,35," رقم الحديث: 34   (حديث مرفوع)    أخبرنا  أبو العلاء نصر بن أحمد الأديب   ، أخبرنا  عبد الرحمن بن غزو بن محمد   ، قال : حدثنا  أبو العباس بن تركان   ، قال : حدثنا  محمد بن الحسين بن علي   ، قال : حدثنا  محمد بن جعفر بن علي بن أحمد بن محمد الأحنف بن قيس   ، قال : حدثنا  المأمون بن أحمد السلمي   ، قال : حدثنا  عبد الله بن مالك بن سليمان السعدي   ، عن  أبيه  ، عن  أبي الأحوص سلام بن سليم   ، عن  سلمة بن وردان   ،  عن  أنس بن مالك   ، قال : قال رسول الله صلى الله عليه وسلم :  "" صنفان من أمتي لا تنالهما شفاعتي : المرجئة والقدرية "" ، قيل : يا رسول الله ، فمن القدرية ؟ قال : "" قوم يقولون : لا قدر "" ، قيل : فمن المرجئة ؟ قال : قوم يكونون في آخر الزمان إذا سئلوا عن الإيمان يقولون :         نحن مؤمنون إن شاء الله ""  . هذا حديث باطل ، وفي إسناده ظلمات ، منها سلمة بن وردان ، قال : محمد بن المثنى : كان يحيى بن سعيد ، وعبد الرحمن بن مهدي لا يحدثان عن سفيان ، عن سلمة بن وردان ، وقال عبد الله بن أحمد بن حنبل : قال أبي : سلمة بن وردان منكر الحديث ، ضعيف الحديث ، وقال يحيى بن معين : سلمة بن وردان مديني ليس بشيء ، وعبد الله بن مالك ، وأبوه مالك بن سليمان مجهولان ، ومأمون بن أحمد هذا كان يحدث عن الثقات بالموضوعات ، ربما لا أصل له ، وكان يضع على رسول الله صلى الله عليه وسلم وعلى غيره من الصحابة والتابعين مائة ألف حديث لم يحدثوا بشيء منها ، فيستحق من الله تعالى ، ومن الرسل ، ومن المسلمين اللعنة .

",أخبرنا  أبو العلاء نصر بن أحمد الأديب   ، أخبرنا  عبد الرحمن بن غزو بن محمد   ، قال : حدثنا  أبو العباس بن تركان   ، قال : حدثنا  محمد بن الحسين بن علي   ، قال : حدثنا  محمد بن جعفر بن علي بن أحمد بن محمد الأحنف بن قيس   ، قال : حدثنا  المأمون بن أحمد السلمي   ، قال : حدثنا  عبد الله بن مالك بن سليمان السعدي   ، عن  أبيه  ، عن  أبي الأحوص سلام بن سليم   ، عن  سلمة بن وردان   ،  عن  أنس بن مالك   ، قال : قال رسول الله صلى الله عليه وسلم,"صنفان من أمتي لا تنالهما شفاعتي : المرجئة والقدرية "" ، قيل : يا رسول الله ، فمن القدرية ؟ قال : "" قوم يقولون : لا قدر "" ، قيل : فمن المرجئة ؟ قال : قوم يكونون في آخر الزمان إذا سئلوا عن الإيمان يقولون :         نحن مؤمنون إن شاء الله",وفي إسناده ظلمات ، منها سلمة بن وردان ، قال : محمد بن المثنى : كان يحيى بن سعيد ، وعبد الرحمن بن مهدي لا يحدثان عن سفيان ، عن سلمة بن وردان ، وقال عبد الله بن أحمد بن حنبل : قال أبي : سلمة بن وردان منكر الحديث ، ضعيف الحديث ، وقال يحيى بن معين : سلمة بن وردان مديني ليس بشيء ، وعبد الله بن مالك ، وأبوه مالك بن سليمان مجهولان ، ومأمون بن أحمد هذا كان يحدث عن الثقات بالموضوعات ، ربما لا أصل له ، وكان يضع على رسول الله صلى الله عليه وسلم وعلى غيره من الصحابة والتابعين مائة ألف حديث لم يحدثوا بشيء منها ، فيستحق من الله تعالى ، ومن الرسل ، ومن المسلمين اللعنة .,Mawdu,non-authentic,الإيمان
N1,36," رقم الحديث: 35   (حديث مرفوع)    أخبرنا  محمد بن أبي علي بن محمد المروزي  ، أخبرنا  أبو بكر عبد الله بن محمد المذكر الملقاباذي  ، بها ،  وأبو نصر منصور بن أحمد بن نصر السرخسي الصوفي بنيسابور   ، إملاء ، حدثنا  أبو عبد الله محمد بن عبد الله بن باكويه الشيرازي  ، أخبرنا  أبو إسحاق إبراهيم بن محمد الجناري  ، قال : حدثنا  إبراهيم بن محمد الطميسي  ، قال : حدثنا  أبو عبد الله محمد بن محمد بن عبد الله السكسكي  ، قال : حدثنا  سمعان بن مهدي   ،  عن  أنس بن مالك   ، عن النبي صلى الله عليه وسلم ، قال : "" إن  أمتي على الخير ما لم يتحولوا عن القبلة ، ولم يستثنوا في إيمانهم ""  . هذا حديث باطل ، ما قاله رسول الله صلى الله عليه وسلم ، ولا رواه عنه أنس بن مالك ، وإنما هو اختراع أحدثه أهل الإرجاء في الإسلام بهذا الإسناد .

",أخبرنا  محمد بن أبي علي بن محمد المروزي  ، أخبرنا  أبو بكر عبد الله بن محمد المذكر الملقاباذي  ، بها ،  وأبو نصر منصور بن أحمد بن نصر السرخسي الصوفي بنيسابور   ، إملاء ، حدثنا  أبو عبد الله محمد بن عبد الله بن باكويه الشيرازي  ، أخبرنا  أبو إسحاق إبراهيم بن محمد الجناري  ، قال : حدثنا  إبراهيم بن محمد الطميسي  ، قال : حدثنا  أبو عبد الله محمد بن محمد بن عبد الله السكسكي  ، قال : حدثنا  سمعان بن مهدي   ،  عن  أنس بن مالك   ، عن النبي صلى الله عليه وسلم ، قال," إن  أمتي على الخير ما لم يتحولوا عن القبلة ، ولم يستثنوا في إيمانهم """,ما قاله رسول الله صلى الله عليه وسلم ، ولا رواه عنه أنس بن مالك ، وإنما هو اختراع أحدثه أهل الإرجاء في الإسلام بهذا الإسناد .,Mawdu,non-authentic,الإيمان
N1,37," رقم الحديث: 36   (حديث موقوف)  أخبرنا  أخبرنا  محمد بن أبي بكر بن محمد بن أبي بكر المذكر  ، أخبرنا  أبو علي أحمد بن محمد بن يحيى بن بندار العدل  ، قال : حدثنا  أبو بكر محمد بن عمر بن خرز الصوفي  ، قال : حدثنا  إبراهيم بن محمد بن الحسن بن فيرة الطيان الأصبهاني   ، قال : حدثنا  أبو عبد الله الحسين بن القاسم بن محمد الأصبهاني الزاهد  ، سنة ثمان وأربعين ومائتين ، قال : حدثنا  إسماعيل بن أبي زياد الشامي   ، عن  جويبر   ، عن  الضحاك   ،  عن  ابن عباس   ، قال : أتاه رجل , فقال : أقول : إني مؤمن حقا أم أقول : إني مؤمن إن شاء الله ؟ فقال ابن عباس :  "" ثكلتك أمك ، كأنك شاك في إيمانك ، أمؤمن أنت بالله وبرسوله ؟ "" , قال : نعم ، قال : "" فقل إني مؤمن حقا ""  . هذا حديث باطل ، والحسين بن القاسم ، وإسماعيل بن أبي زياد ، وجويبر بن سعيد ، ثلاثتهم مجروحون .

", أخبرنا  أخبرنا  محمد بن أبي بكر بن محمد بن أبي بكر المذكر  ، أخبرنا  أبو علي أحمد بن محمد بن يحيى بن بندار العدل  ، قال : حدثنا  أبو بكر محمد بن عمر بن خرز الصوفي  ، قال : حدثنا  إبراهيم بن محمد بن الحسن بن فيرة الطيان الأصبهاني   ، قال : حدثنا  أبو عبد الله الحسين بن القاسم بن محمد الأصبهاني الزاهد  ، سنة ثمان وأربعين ومائتين ، قال : حدثنا  إسماعيل بن أبي زياد الشامي   ، عن  جويبر   ، عن  الضحاك   ،  عن  ابن عباس   ، قال,"أتاه رجل , فقال : أقول : إني مؤمن حقا أم أقول : إني مؤمن إن شاء الله ؟ فقال ابن عباس :  "" ثكلتك أمك ، كأنك شاك في إيمانك ، أمؤمن أنت بالله وبرسوله ؟ "" , قال : نعم ، قال : "" فقل إني مؤمن حقا ",والحسين بن القاسم ، وإسماعيل بن أبي زياد ، وجويبر بن سعيد ، ثلاثتهم مجروحون,Mawdu,non-authentic,الإيمان
N1,44," رقم الحديث: 43   (حديث مرفوع)    أخبرنا  عبد الملك بن مكي بن نجير الحافظ  ، أخبرنا  يوسف بن محمد بن يوسف الخطيب   ، أخبرنا  أبو سهل عبد الله بن محمد بن زيرك  ، إجازة ، قال : حدثنا  أبو زرعة أحمد بن الحسين بن علي الرازي   ، قال : حدثنا  أبو علي الحسن بن مروان القاضي   ، بالرملة ، قال : حدثنا  محمد بن الحسن  ، قال : حدثنا  إسماعيل بن أبي إسرائيل  ، قال : حدثنا  أسد بن خالد الخراساني   ، قال : حدثنا  ابن زيد   ، عن  أبيه   ، عن  سعيد بن جبير   ،  عن  عبد الله بن عباس   ، قال : قال رسول الله صلى الله عليه وسلم :  "" خلق الله الإيمان فحفه بالسماحة والحياء ، وخلق الكفر فحفه بالبخل والجفاء ""  . هذا حديث باطل لا شك فيه ، وابن زيد وأبوه مجهولان ، وإسماعيل بن أبي إسرائيل ، وأسد بن خالد كلاهما متروكان .

",  أخبرنا  عبد الملك بن مكي بن نجير الحافظ  ، أخبرنا  يوسف بن محمد بن يوسف الخطيب   ، أخبرنا  أبو سهل عبد الله بن محمد بن زيرك  ، إجازة ، قال : حدثنا  أبو زرعة أحمد بن الحسين بن علي الرازي   ، قال : حدثنا  أبو علي الحسن بن مروان القاضي   ، بالرملة ، قال : حدثنا  محمد بن الحسن  ، قال : حدثنا  إسماعيل بن أبي إسرائيل  ، قال : حدثنا  أسد بن خالد الخراساني   ، قال : حدثنا  ابن زيد   ، عن  أبيه   ، عن  سعيد بن جبير   ،  عن  عبد الله بن عباس   ، قال : قال رسول الله صلى الله عليه وسلم," خلق الله الإيمان فحفه بالسماحة والحياء ، وخلق الكفر فحفه بالبخل والجفاء """,وابن زيد وأبوه مجهولان ، وإسماعيل بن أبي إسرائيل ، وأسد بن خالد كلاهما متروكان,Mawdu,non-authentic,الإيمان
N1,45," رقم الحديث: 44   (حديث مرفوع)    أخبرنا  عبد الملك بن مكي بن بنجير  ، أخبرنا  يوسف بن محمد بن يوسف   ، قال : حدثنا  أحمد بن إبراهيم بن أحمد بن تركان  ، قال : قال حدثنا  أبو الطيب أحمد بن محمد بن عبدان الصفار الكوفي   ، قال : حدثنا  بشر بن موسى   ، قال : حدثنا  المقري عبد الله بن يزيد   ، قال : حدثنا  عبد الرحمن بن زياد الإفريقي   ،         حدثني  أبو علقمة   ،  عن  أبي هريرة   ، قال : كان رسول الله صلى الله عليه وسلم ، يقول :  "" سبحان الله نصف الميزان ، والحمد لله ملء الميزان ، والله أكبر ملء السماوات والأرض ، ولا إله إلا الله ، ليس دونها ستر ولا حجاب حتى تخلص إلى ربها ""  . هذا حديث باطل ، تفرد به عبد الرحمن بن زياد الإفريقي ، قال الإمام أحمد بن حنبل : هو ليس بشيء ، وقال يحيى بن معين : هو ضعيف .

",  أخبرنا  عبد الملك بن مكي بن بنجير  ، أخبرنا  يوسف بن محمد بن يوسف   ، قال : حدثنا  أحمد بن إبراهيم بن أحمد بن تركان  ، قال : قال حدثنا  أبو الطيب أحمد بن محمد بن عبدان الصفار الكوفي   ، قال : حدثنا  بشر بن موسى   ، قال : حدثنا  المقري عبد الله بن يزيد   ، قال : حدثنا  عبد الرحمن بن زياد الإفريقي   ،         حدثني  أبو علقمة   ،  عن  أبي هريرة   ، قال : كان رسول الله صلى الله عليه وسلم ، يقول," سبحان الله نصف الميزان ، والحمد لله ملء الميزان ، والله أكبر ملء السماوات والأرض ، ولا إله إلا الله ، ليس دونها ستر ولا حجاب حتى تخلص إلى ربها """,تفرد به عبد الرحمن بن زياد الإفريقي ، قال الإمام أحمد بن حنبل : هو ليس بشيء ، وقال يحيى بن معين : هو ضعيف,Mawdu,non-authentic,الإيمان
N1,46," رقم الحديث: 45   (حديث قدسي)  أخبرنا  أخبرنا  عبد الملك بن مكي   ، أخبرنا  أبو علي الحسن بن عبد الله بن ياسين  ، قال : حدثنا  أبو طاهر الحسين بن علي بن الحسن بن سلمة   ، إملاء ، أخبرنا  عبد العزيز بن أحمد بن علي بن بكر النيسابوري   ، قال : حدثنا  أبو عمر عثمان بن أحمد السماك   ، قال : حدثنا  أبو القاسم إسحاق بن إبراهيم   ، قال : حدثنا  محمد بن الصباح   ، عن  عبد السلام أبي بكر  ، قال : حدثنا  داود أبو سليمان  ، عن  حجر بن هشام   ، عن  عثمان بن عطاء   ، عن  أبيه   ،  عن  ابن عباس   ، قال : قال رسول الله صلى الله عليه وسلم :  "" ما من شيء إلا وبينه وبين الله حجاب إلا قول : لا إله إلا الله ، كما أن شفتك لا يحجبها كذلك لا يحجبها شيء حتى تنتهي إلى الله تعالى ، فيقول الله تعالى : اسكني ، فتقول : يا رب كيف أسكن ، ولم تغفر لقائلي ؟ قال : يقول الله تعالى : وعزتي وجلالي ، ما أجريتك على لسان عبدي وأنا أريد أن أعذبه ""  . هذا حديث باطل ، وعثمان بن عطاء هذا خراساني ، قال عمرو بن علي الصيرفي : هو متروك الحديث .

", أخبرنا  أخبرنا  عبد الملك بن مكي   ، أخبرنا  أبو علي الحسن بن عبد الله بن ياسين  ، قال : حدثنا  أبو طاهر الحسين بن علي بن الحسن بن سلمة   ، إملاء ، أخبرنا  عبد العزيز بن أحمد بن علي بن بكر النيسابوري   ، قال : حدثنا  أبو عمر عثمان بن أحمد السماك   ، قال : حدثنا  أبو القاسم إسحاق بن إبراهيم   ، قال : حدثنا  محمد بن الصباح   ، عن  عبد السلام أبي بكر  ، قال : حدثنا  داود أبو سليمان  ، عن  حجر بن هشام   ، عن  عثمان بن عطاء   ، عن  أبيه   ،  عن  ابن عباس   ، قال : قال رسول الله صلى الله عليه وسلم," ما من شيء إلا وبينه وبين الله حجاب إلا قول : لا إله إلا الله ، كما أن شفتك لا يحجبها كذلك لا يحجبها شيء حتى تنتهي إلى الله تعالى ، فيقول الله تعالى : اسكني ، فتقول : يا رب كيف أسكن ، ولم تغفر لقائلي ؟ قال : يقول الله تعالى : وعزتي وجلالي ، ما أجريتك على لسان عبدي وأنا أريد أن أعذبه """,وعثمان بن عطاء هذا خراساني ، قال عمرو بن علي الصيرفي : هو متروك الحديث,Mawdu,non-authentic,الإيمان
